HDFC Bank Statement - Category-wise Financial Summary
=======================================================
Category	Debit Total (Rs.)	Credit Total (Rs.)	Net Change (Rs.)
Entertainment / Subscriptions	12765.47	0.0	-12765.47
Food & Snacks	6698.79	0.0	-6698.79
General UPI / Shopping	803.82	0.0	-803.82
Groceries	1361.0	0.0	-1361.0
House Maintenance	3000.0	0.0	-3000.0
Parents / Grandparents / Siblings Spending	1650.0	0.0	-1650.0
Rent	15000.0	0.0	-15000.0
Salary / Income	0.0	189338.0	189338.0
Self / Family Transfer	5000.0	30.0	-4970.0
Tea and Snacks	12.0	0.0	-12.0
Transport	3261.0	0.0	-3261.0
Uncategorized	9699.0	360.0	-9339.0
Utilities / Recharge	60.0	0.0	-60.0
Total	59311.08	189728.0	130416.92
