HDFC Bank Statement - Category-wise Financial Summary
=======================================================
Category	Debit Total (Rs.)	Credit Total (Rs.)	Net Change (Rs.)
Credit Bill Payment	2833.0	0.0	-2833.0
Entertainment / Subscriptions	2000.0	0.0	-2000.0
Food & Snacks	12969.81	80.0	-12889.81
General UPI / Shopping	2302.0	0.0	-2302.0
Groceries	2706.0	0.0	-2706.0
Health / Medical	960.0	0.0	-960.0
House Maintenance	3000.0	0.0	-3000.0
Investments	40000.0	0.0	-40000.0
Petrol / Fuel	3700.67	0.0	-3700.67
Rent	15000.0	0.0	-15000.0
Salary / Income	0.0	256281.79	256281.79
Swimming	9000.0	0.0	-9000.0
Tea and Snacks	17.0	0.0	-17.0
Transport	3353.0	1.0	-3352.0
Uncategorized	106314.0	2492.0	-103822.0
Total	204155.48	258854.79	54699.31
