HDFC BANK STATEMENT PROCESSING LOG - Apr-2026
======================================================================
Transactions processed: 145
Transport transactions categorized: 38
Uncategorized transactions (> ₹500 - Needs Classification): 11

Category totals (count and amount breakdown):
Category                       Count  Debit Amount (₹)  Credit Amount (₹)      Net (₹)
-----------------------------  -----  ----------------  -----------------  -----------
Credit Bill Payment                1          2,833.00               0.00    -2,833.00
Entertainment / Subscriptions      1          2,000.00               0.00    -2,000.00
Food & Snacks                     44         12,969.81              80.00   -12,889.81
General UPI / Shopping             2          2,302.00               0.00    -2,302.00
Groceries                          9          2,706.00               0.00    -2,706.00
Health / Medical                   1            960.00               0.00      -960.00
House Maintenance                  1          3,000.00               0.00    -3,000.00
Investments                        1         40,000.00               0.00   -40,000.00
Petrol / Fuel                      3          3,700.67               0.00    -3,700.67
Rent                               1         15,000.00               0.00   -15,000.00
Salary / Income                    1              0.00         256,281.79   256,281.79
Swimming                           1          9,000.00               0.00    -9,000.00
Tea and Snacks                     1             17.00               0.00       -17.00
Transport                         38          3,353.00               1.00    -3,352.00
Uncategorized                     40        106,314.00           2,492.00  -103,822.00
TOTAL                            145        204,155.48         258,854.79    54,699.31

Uncategorized transactions (> ₹500 - Needs Classification):
Date        Narration                                                                                       Type    Amount (₹)  Category     
----------  ----------------------------------------------------------------------------------------------  ------  ----------  -------------
01-04-2026  UPI-BLRUNITOPIP-PAYTM.D10887095444@PTY -YESB0MCHUPI-826045261590-PAYMENTFROMP HONE              Debit       800.00  Uncategorized
01-04-2026  INTERESTPAIDTILL31-MAR-2026                                                                     Credit    2,492.00  Uncategorized
01-04-2026  UPI-BLRUNITOPIP4-PAYTM.D10887095536@P TY-YESB0MCHUPI-123090501817-PAYMENT FROM PHONE            Debit       600.00  Uncategorized
01-04-2026  UPI-BLRUNITPHAR-PAYTM.D87096539@PTA-UT IB0000022-520766143093-PAYMENTFROMPHON E                 Debit       553.00  Uncategorized
03-04-2026  UPI-YERIPALLI APPALARAJ-APPALARAJUYERIP ALLI955@IBL-SBIN0021994-470093808105-PAY MENTFROMPHONE  Debit     1,500.00  Uncategorized
04-04-2026  UPI-YERIPALLI APPALARAJ-APPALARAJUYERIP ALLI955@IBL-SBIN0021994-396339895052-PAY MENTFROMPHONE  Debit     2,000.00  Uncategorized
05-04-2026  UPI-SHANTESHBBAGI-9449278574@YBL-SBIN0 000909-962064847390-PAYMENTFROMPHONE                     Debit    95,000.00  Uncategorized
