HDFC BANK STATEMENT PROCESSING LOG - Jun-2026
======================================================================
Transactions processed: 153
Transport transactions categorized: 30
Uncategorized transactions (> ₹500 - Needs Classification): 10

Category totals (count and amount breakdown):
Category                       Count  Debit Amount (₹)  Credit Amount (₹)      Net (₹)
-----------------------------  -----  ----------------  -----------------  -----------
Copilot AI                         1          2,000.00               0.00    -2,000.00
Entertainment / Subscriptions      1            999.00               0.00      -999.00
Food & Snacks                     36          8,152.93               0.00    -8,152.93
General UPI / Shopping             1            234.82               0.00      -234.82
Groceries                          6          1,247.00               0.00    -1,247.00
Health / Medical                   2          1,045.00               0.00    -1,045.00
House Maintenance                  1          3,000.00               0.00    -3,000.00
Investments                        2        100,000.00               0.00  -100,000.00
Petrol / Fuel                      3          3,500.00               0.00    -3,500.00
Rent                               1         15,000.00               0.00   -15,000.00
Salary / Income                    1              0.00         315,915.00   315,915.00
Tax Refund / Tax Payment           1         15,150.00               0.00   -15,150.00
Tea and Snacks                     8            425.00               0.00      -425.00
Transport                         30          3,605.00               0.00    -3,605.00
Uncategorized                     58        172,086.98           3,000.00  -169,086.98
Utilities / Recharge               1          4,004.00               0.00    -4,004.00
TOTAL                            153        330,449.73         318,915.00   -11,534.73

Uncategorized transactions (> ₹500 - Needs Classification):
Date        Narration                                                                                  Type    Amount (₹)  Category     
----------  -----------------------------------------------------------------------------------------  ------  ----------  -------------
12-06-2026  UPI-XXXXXA206-ICIC0000106-616384387109-U PISENDMONEY                                       Debit     3,000.00  Uncategorized
12-06-2026  REV-UPI-50100298171990-9738413371@HDFC-6 16384387109-UPISENDMONEY                          Credit    3,000.00  Uncategorized
12-06-2026  UPI-BFQ-IBKPOS.EP094154@ICICI-ICIC000000 4-251744134186-PAYMENTFROMPHONE                   Debit     7,495.00  Uncategorized
14-06-2026  IBBILLPAYDR-HDFCWI-552260XXXXXX4258                                                        Debit    13,272.73  Uncategorized
23-06-2026  UPI-UTKARSHSMALL FINANC-DIGITALFD@UTKAR SHBANK-UTKS0000001-720074628023-PAYMENT FROMPHONE  Debit    10,000.00  Uncategorized
24-06-2026  UPI-MADANA R-HAVOCMADHAN39-2@OKSBI-HDFC0 003637-205804447749-PAYMENTFROMPHONE              Debit       590.00  Uncategorized
26-06-2026  UPI-A MANJUNATHA-9844229961@YBL-SBIN004 0738-421164921136-PAYMENTFROMPHONE                 Debit       950.00  Uncategorized
28-06-2026  UPI-XXXXXXXXXX4601-PKGB0010640-848970606 126-PAYMENTFROMPHONE                              Debit    36,000.00  Uncategorized
30-06-2026  UPI-HARISHSHEKHARAPPAC-9964738987@YBL- CNRB0000000-743451000828-PAYMENTFROMPH ONE          Debit     2,500.00  Uncategorized
30-06-2026  UPI-XXXXXXX1296-SBIN0000909-831353747830 -PAYMENTFROMPHONE                                 Debit    95,000.00  Uncategorized

Transport transactions:
Date        Narration                                                                                                      Type   Amount (₹)  Category 
----------  -------------------------------------------------------------------------------------------------------------  -----  ----------  ---------
01-06-2026  UPI-AMIYAKUMAR SAHOO-7894183203@YBL-SBI N0013581-458873424721-PAYMENTFROMPHONE                                 Debit       83.00  Transport
01-06-2026  UPI-BAGMANE-BAGMANE.63010747@HDFCBANK-HD FC0MERUPI-292180661829-PAYMENTFROM PHON E                             Debit      708.00  Transport
02-06-2026  UPI-PARBOBK-Q306098018@YBL-YESB0YBLUPI -761074989407-PAYMENTFROMPHONE                                          Debit       60.00  Transport
03-06-2026  UPI-SUSHILKUMAR PAUL-SUSHILPAUL402-5@OK SBI-AIRP0000001-855815796293-PAYMENTFRO MPHONE                         Debit       74.00  Transport
06-06-2026  UPI-SSHIVAKUMAR-SHIVA12313@YBL-ICIC0007 432-442212472037-PAYMENTFROMPHONE                                      Debit       48.00  Transport
08-06-2026  UPI-DEEPAKKUMAR DAN-DANDEEPAK1@AXL-PUNB 0463800-670191745267-PAYMENTFROMPHONE                                  Debit       83.00  Transport
08-06-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-1 79544287239-PAYMENTFROMPHONE  Debit       40.00  Transport
08-06-2026  UPI-BANGALOREMETRO RAIL-BANGALOREMETROR AILCORP-8579705.PAYU@INDUS-INDB0MERCHA-3 01673172651-PAYMENTFROMPHONE  Debit       40.00  Transport
09-06-2026  UPI-VINODKUMAR-9066378946-2@IBL-UTIB000 2067-935022309728-PAYMENTFROMPHONE                                     Debit       40.00  Transport
09-06-2026  UPI-RBLBANKLIMITED-NCMC.6401PMTS000275 638@CASHFREENSDLPB-NSPB0000011-028767612 964-PAYMENTFROMPHONE           Debit      550.00  Transport
10-06-2026  UPI-AMIYAKUMARSAHOO-7894183203@IBL-SBI N0013581-028635392202-PAYMENTFROMPHONE                                  Debit       82.00  Transport
12-06-2026  UPI-SAYAN DAS-6361805518@PTHDFC-BARB0VJW HIT-607185746030-PAYMENTFROMPHONE                                     Debit       73.00  Transport
13-06-2026  UPI-KVISWANATHREDDY-9652029705-3@YBL-K VBL0004923-856210613048-PAYMENTFROMPHO NE                               Debit       60.00  Transport
15-06-2026  UPI-SUSHILKUMAR PAUL-SUSHILPAUL402-5@OK SBI-AIRP0000001-717959337789-PAYMENTFRO MPHONE                         Debit       81.00  Transport
16-06-2026  UPI-MRMADUSUDANA T-8106323536@AXL-IDIB0 00P055-119306534416-PAYMENTFROMPHONE                                   Debit       82.00  Transport
17-06-2026  UPI-RBLBANKLIMITED-NCMC.6401PMTS000275 638@CASHFREENSDLPB-NSPB0000011-122186473 728-PAYMENTFROMPHONE           Debit      550.00  Transport
18-06-2026  UPI-AMIYAKUMARSAHOO-7894183203@IBL-SBI N0013581-106456351512-PAYMENTFROMPHONE                                  Debit       75.00  Transport
21-06-2026  UPI-MRSRUKMINI R-PAYTMQR58KXXS@PAYTM-YE SB0PTMUPI-427489977677-PAYMENTFROM PHON E                              Debit       45.00  Transport
22-06-2026  UPI-GIRIDHARI SAHOO-6372612061@KOTAKBANK -KKBK0811000-979215895695-PAYMENTFROMP HONE                           Debit       83.00  Transport
22-06-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-438081347935-PAYM ENTFROMPHONE                  Debit       40.00  Transport
22-06-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-762525884356-PAYM ENTFROMPHONE                  Debit       40.00  Transport
23-06-2026  UPI-ANILKUMARMAHAKUD-7975494286-2@IBL- BARB0WHITEF-399125344925-PAYMENTFROM PH ONE                             Debit       68.00  Transport
23-06-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-515537067290-PAYM ENTFROMPHONE                  Debit       40.00  Transport
23-06-2026  UPI-BANGALOREMETRO RAIL-ENGLISHBMRC.PAY U@AXISBANK-UTIB0003156-045324242357-PAYM ENTFROMPHONE                  Debit       40.00  Transport
24-06-2026  UPI-SUDHARSHANJ-8073797402-3@IBL-UBIN09 08673-010249330437-PAYMENTFROMPHONE                                    Debit       80.00  Transport
